Model,Avg Drop (%),Mean Precision,Mean F1
YOLOv8n,40.33098450415881,0.6877120327760784,0.4502739226163109
YOLOv8s,40.67096804853765,0.6767108469885333,0.4820935135828013
YOLOv9t,36.35169035710536,0.7250316255044884,0.4980991009808274
YOLOv9s,35.282682461140986,0.7041392676022445,0.5419311756128198
YOLOv10n,36.52721232875669,0.7216979830524963,0.4595999926918487
YOLOv10s,38.296227181346886,0.6965786754922629,0.5134314462073297
YOLO11n,42.3507480471921,0.6652898918912166,0.45501009928990777
YOLO11s,42.78138451929181,0.6438365282869799,0.4990084604950185
YOLO26n,41.37061312065379,0.6636707718472209,0.46437690638074586
YOLO26s,42.77135335818435,0.6548379426444756,0.4805974609908584
