Model,Latency(ms)
YOLO11n,114.54366666666425
YOLO11s,259.97372011110605
YOLO26n,232.9924778333326
YOLO26s,302.20032205555776
YOLOv10n,111.56793927778482
YOLOv10s,257.4020272222212
YOLOv8n,119.03019850000015
YOLOv8s,270.6197838333335
YOLOv9s,298.88792594444567
YOLOv9t,353.0076878333309
