Model,Avg Drop (%),Mean Precision,Mean F1,Avg RRI,Latency(ms),Latency Score,Final Score
YOLOv10n,36.52721232875669,0.7216979830524963,0.4595999926918487,0.6956065639270276,111.56793927778482,0.6839503979005112,0.5988727022276528
YOLOv8n,40.33098450415881,0.6877120327760784,0.4502739226163109,0.6639084624653431,119.03019850000015,0.6628113137405691,0.5782352167807754
YOLO11n,42.3507480471921,0.6652898918912166,0.45501009928990777,0.6470770996067325,114.54366666666425,0.6755207588545638,0.5759390313295689
YOLOv10s,38.296227181346886,0.6965786754922629,0.5134314462073297,0.680864773488776,257.4020272222212,0.2708316671455864,0.5318848213075597
YOLOv9s,35.282682461140986,0.7041392676022445,0.5419311756128198,0.7059776461571584,298.88792594444567,0.1533104341751258,0.5298256155430164
YOLO26n,41.37061312065379,0.6636707718472209,0.46437690638074586,0.6552448906612184,232.9924778333326,0.33997902633968213,0.5158445240847221
YOLO11s,42.78138451929181,0.6438365282869799,0.4990084604950185,0.6434884623392347,259.97372011110605,0.26354657682738614,0.5097080844991785
YOLOv8s,40.67096804853765,0.6767108469885333,0.4820935135828013,0.6610752662621863,270.6197838333335,0.23338841288605605,0.5039451945152063
YOLO26s,42.77135335818435,0.6548379426444756,0.4805974609908584,0.6435720553484637,302.20032205555776,0.14392708014268896,0.4784532225642667
YOLOv9t,36.35169035710536,0.7250316255044884,0.4980991009808274,0.697069247024122,353.0076878333309,0.0,0.47806733920197975
